Probe Set;Sequencing Configuration;Sample ID at Source;Slide Area;uid;Dataset Url;Instrument(s);Chemistry Details;Number of Genes Targeted;Transcriptome;Pipeline Version;Number of Spots;Mean Reads per Spot;Median Genes per Spot;Genes Detected;Microscope;Objective;Numerical Aperture;Camera;Exposure;Gain
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42U20-030;A1;100my;https://www.10xgenomics.com/datasets/fresh-frozen-visium-on-cytassist-human-breast-cancer-probe-based-whole-transcriptome-profiling-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.1;1,657;45,766;6,782;16,387;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V52Y09-003;B1;108rf;https://www.10xgenomics.com/datasets/human-ovarian-cancer-11-mm-capture-area-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.0;4,674;46,109;8,792;18,064;Olympus Slide Scanning Microscope;20X UPLXAPO Objective;0.8;Hamamatsu Orca FusionBT sCMOS;;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-354;D1;10sn3;https://www.10xgenomics.com/datasets/human-lung-cancer-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.0;3,858;35,785;6,174;18,066;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-353;D1;10834;https://www.10xgenomics.com/datasets/mouse-brain-coronal-section-2-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.0;2,235;51,674;5,303;19,306;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-353;A1;10ndj;https://www.10xgenomics.com/datasets/mouse-brain-coronal-section-1-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.0.0;2,310;53,497;6,736;19,352;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
Visium Human Transcriptome Probe Set v2.0;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V42A20-355;A1;10ieh;https://www.10xgenomics.com/datasets/human-melanoma-if-stained-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.0.0;3,458;55,952;7,598;18,069;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;Hamamatsu ORCA-Fusion;2.5 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing;V10N30-322;A1;10u6u;https://www.10xgenomics.com/datasets/adult-mouse-olfactory-bulb-1-standard-1;Illumina NovaSeq 6000;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;1,185;39,560;4,790;19,332;;20X objective;;Brightfield camera;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-076;D1;106ru;https://www.10xgenomics.com/datasets/human-prostate-cancer-adjacent-normal-section-with-if-staining-ffpe-1-standard;Illumina NovaSeq;Visium V1 Slide - FFPE v1;17943;GRCh38-2020-A;spaceranger-2.0.0;3,460;29,191;4,614;16,979;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E2;V10M18-056;C1;10wkh;https://www.10xgenomics.com/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;1186;GRCh38-2020-A;spaceranger-1.2.0;4,992;10,200;;1,142;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;1 ms;
;28 x 120 bp;V19B23-014;A1;10k5p;https://www.10xgenomics.com/datasets/human-breast-cancer-visium-fresh-frozen-whole-transcriptome-1-standard;Illumina NovaSeq 600;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.3.0;4,898;47,223;3,654;24,387;Nikon Ti2-E microscope;20X objective;0.75;Color camera;10 ms;4.5X
Visium Human Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 75 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V10L13-020;D1;10vcj;https://www.10xgenomics.com/datasets/human-ovarian-cancer-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;3,455;63,836;7,621;17,294;;;;;;
Visium Human Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 50 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V10L13-019;A1;10hm6;https://www.10xgenomics.com/datasets/human-cervical-cancer-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;2,781;73,046;7,276;17,871;;;;;;
Visium Human Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 50 bp read 2 (transcript), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V10L13-021;B1;1000j;https://www.10xgenomics.com/datasets/human-intestine-cancer-1-standard;Illumina NovaSeq 6000;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;2,660;77,288;7,438;17,579;;;;;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-002;B1;10f2z;https://www.10xgenomics.com/datasets/human-prostate-cancer-acinar-cell-carcinoma-ffpe-1-standard;Illumina NovaSeq;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;3,043;50,207;6,720;17,350;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 120bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11A13-021;C1;103mc;https://www.10xgenomics.com/datasets/adult-mouse-kidney-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;19465;mm10-2020-A;spaceranger-1.3.0;3,124;53,993;7,260;18,162;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 120bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-128;A1;10kz7;https://www.10xgenomics.com/datasets/adult-mouse-brain-if-stained-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;19465;mm10-2020-A;spaceranger-1.3.0;2,438;30,337;6,056;16,789;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Mouse Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 120bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-127;B1;10uf7;https://www.10xgenomics.com/datasets/adult-mouse-brain-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;19465;mm10-2020-A;spaceranger-1.3.0;2,264;28,826;6,160;16,876;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-011;D1;1005m;https://www.10xgenomics.com/datasets/normal-human-prostate-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;2,543;28,464;2,945;16,527;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-003;B1;10uik;https://www.10xgenomics.com/datasets/human-prostate-cancer-adenocarcinoma-with-invasive-carcinoma-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;4,371;23,087;5,391;16,907;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
Visium Human Transcriptome Probe Set;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 50bp read2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V11J26-008;B1;10jcz;https://www.10xgenomics.com/datasets/human-breast-cancer-ductal-carcinoma-in-situ-invasive-carcinoma-ffpe-1-standard-1-3-0;Illumina NovaSeq;Spatial 3' v1;17943;GRCh38-2020-A;spaceranger-1.3.0;2,518;32,524;5,244;17,651;Metafer Slide Scanning Microscope;20x objective;0.8;MetaSystems CoolCube 4c camera;;
;Paired-end (28 X 90);SI-TT-A12;A2;10vtf;https://www.10xgenomics.com/datasets/invasive-ductal-carcinoma-stained-with-fluorescent-cd-3-antibody-1-standard-1-2-0;Illumina NovaSeq;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;4,727;40,795;2,964;23,678;;;;;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-A2;V10A15-100;C1;101cw;https://www.10xgenomics.com/datasets/human-spinal-cord-whole-transcriptome-analysis-stains-dapi-anti-snap-25-anti-gfap-anti-myelin-cn-pase-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;2,812;77,754;2,254;23,955;;;;;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-A2;V10A15-100;C1;10wth;https://www.10xgenomics.com/datasets/human-spinal-cord-targeted-neuroscience-panel-stains-dapi-anti-snap-25-anti-gfap-anti-myelin-cn-pase-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;1186;GRCh38-2020-A;spaceranger-1.2.0;2,812;10,761;;1,141;;;;;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-H6;V10A13-173;B1;10rxw;https://www.10xgenomics.com/datasets/human-ovarian-cancer-whole-transcriptome-analysis-stains-dapi-anti-pan-ck-anti-cd-45-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;3,493;80,586;3,464;24,019;;;;;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-H6;V10A13-173;B1;10tyd;https://www.10xgenomics.com/datasets/human-ovarian-cancer-targeted-pan-cancer-panel-stains-dapi-anti-pan-ck-anti-cd-45-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;1253;GRCh38-2020-A;spaceranger-1.2.0;3,493;20,156;;1,198;;;;;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-H6;V10A13-173;B1;10j0z;https://www.10xgenomics.com/datasets/human-ovarian-cancer-targeted-immunology-panel-stains-dapi-anti-pan-ck-anti-cd-45-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;1056;GRCh38-2020-A;spaceranger-1.2.0;3,493;10,391;;991;;;;;;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E4;V10A13-167;C1;10wcj;https://www.10xgenomics.com/datasets/human-glioblastoma-whole-transcriptome-analysis-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;3,468;136,128;4,326;25,281;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E4;V10A13-167;C1;10zyf;https://www.10xgenomics.com/datasets/human-glioblastoma-targeted-pan-cancer-panel-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;1253;GRCh38-2020-A;spaceranger-1.2.0;3,468;16,383;;1,198;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E8;V10A13-206;C1;10zad;https://www.10xgenomics.com/datasets/human-colorectal-cancer-whole-transcriptome-analysis-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;3,138;112,228;3,538;23,233;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E8;V10A13-206;C1;10kia;https://www.10xgenomics.com/datasets/human-colorectal-cancer-targeted-gene-signature-panel-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;1142;GRCh38-2020-A;spaceranger-1.2.0;3,138;16,795;;1,134;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E2;V10M18-056;C1;10kyn;https://www.10xgenomics.com/datasets/human-cerebellum-whole-transcriptome-analysis-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;4,992;42,431;2,865;23,808;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;1 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E2;V10M18-056;C1;1012t;https://www.10xgenomics.com/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard-1-2-0;Illumina NovaSeq 6000;Visium V1 Slide - Targeted;1186;GRCh38-2020-A;spaceranger-2.0.0;4,992;10,200;;1,142;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;1 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-A6;V19L29-095;A1;10p19;https://www.10xgenomics.com/datasets/human-breast-cancer-whole-transcriptome-analysis-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;4,325;72,436;3,671;23,812;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-A6;V19L29-095;A1;1033x;https://www.10xgenomics.com/datasets/human-breast-cancer-targeted-immunology-panel-1-standard-1-2-0;Illumina NovaSeq 6000;Spatial 3' v1;1056;GRCh38-2020-A;spaceranger-1.2.0;4,325;16,141;;973;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L29-096;B1;101in;https://www.10xgenomics.com/datasets/mouse-kidney-section-coronal-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;mm10-3.0.0;spaceranger-1.0.0;1,438;261,122;5,799;19,207;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L01-041;C1;10ktp;https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;mm10-2020-A;spaceranger-1.3.0;2,702;115,569;6,018;21,949;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L01-041;C1;107rw;https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,702;115,569;6,018;21,949;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L01-041;C1;10jft;https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;mm10-3.0.0;spaceranger-1.0.0;2,698;115,740;5,798;20,984;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;28 x 120 bp;V19L01-033;A1;105jc;https://www.10xgenomics.com/datasets/human-lymph-node-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,035;123,311;5,999;25,187;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;28 x 120 bp;V19L01-033;A1;105vj;https://www.10xgenomics.com/datasets/human-lymph-node-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-3.0.0;spaceranger-1.0.0;4,039;123,189;5,347;22,991;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
;28 x 120 bp;V19S16-046;C1;1025z;https://www.10xgenomics.com/datasets/human-heart-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,247;51,379;1,957;20,917;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
;28 x 120 bp;V19S16-046;C1;10e9s;https://www.10xgenomics.com/datasets/human-heart-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-3.0.0;spaceranger-1.0.0;4,235;51,525;1,865;19,574;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
;28 x 120 bp;V19L29-098;B1;10fmm;https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-2-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;3,987;138,226;5,580;25,072;Nikon Ti2-E microscope;20X objective;0.75;Color camera;10 ms;4.5X
;28 x 120 bp;V19L29-097;B1;10fty;https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-1-1-standard-1-1-0;Illumina NovaSeq 6000;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;3,798;150,392;6,026;24,923;Nikon Ti2-E microscope;20X objective;0.75;Color camera;10 ms;4.5X
;Paired-end (28 X 90);V10M23-089;B1;104dm;https://www.10xgenomics.com/datasets/adult-mouse-brain-section-2-coronal-stains-dapi-anti-gfap-anti-neu-n-1-standard-1-1-0;Illumina NovaSeq with NovaSeq S4 Reagent Kit (200 cycles);Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,807;56,020;4,221;20,993;;;;;;
;Paired-end (28 X 90);V10M23-089;C1;10p5f;https://www.10xgenomics.com/datasets/adult-mouse-brain-section-1-coronal-stains-dapi-anti-neu-n-1-standard-1-1-0;Illumina NovaSeq with NovaSeq S4 Reagent Kit (200 cycles);Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,903;51,648;4,635;21,474;;;;;;
;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V10M23-117;D1;104ee;https://www.10xgenomics.com/datasets/adult-human-brain-2-cerebral-cortex-unknown-orientation-stains-anti-snap-25-anti-nfh-1-standard-1-1-0;Illumina NovaSeq 600;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,972;75,668;2,924;25,711;;;;;;
;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V10M23-117;A1;10wv1;https://www.10xgenomics.com/datasets/adult-human-brain-1-cerebral-cortex-unknown-orientation-stains-anti-gfap-anti-nfh-1-standard-1-1-0;Illumina NovaSeq 600;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,910;73,102;2,606;25,285;;;;;;
;28 x 120 bp;V19L29-035;B1;10tzs;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-posterior-1-standard-1-0-0;Illumina NovaSeq 6000;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;3,289;73,558;4,542;21,175;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
;28 x 120 bp;V19L29-035;D1;10huw;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard-1-0-0;Illumina NovaSeq 6000;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;2,823;129,822;5,342;21,221;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
;28 x 120 bp;V19L29-035;A1;10jff;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-1-sagittal-posterior-1-standard-1-0-0;Illumina NovaSeq 6000;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;3,355;87,128;4,772;21,363;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
;28 x 120 bp;V19L29-035;B1;10224;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0;Illumina NovaSeq 6000;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,695;124,414;6,228;21,334;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
