uid;Dataset Url;Panel Type;Panel;Number of Target Genes;Number of Add-on Genes;Number of Cells;Median Transcripts per Cell;Region Area;Total Cell Area;Sample ID at Source
10u63;https://www.10xgenomics.com/datasets/ffpe-human-brain-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard;Custom Add-on;Xenium Human Immuno-Oncology + Add-on;480;100;816769;157.0;104982461.9;67850192.2;
106xa;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Mouse Bone + Add-on;479;100;253560;70.0;51981815.5;21200292.4;0011218 xc127_mBone_PD594
10n1k;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Mouse Bone + Add-on;479;100;348141;65.0;75035165.8;35096560.8;0011218 xc127_mBone_PD594
10ndm;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Mouse Bone + Add-on;479;100;247876;69.0;55003268.3;24649648.6;0011218 xc127_mBone_PD594
10nsr;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Bone + Add-on;477;100;225906;27.0;26288545.2;13215979.4;0023651 xc127_hBone_PD549
10040;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Bone + Add-on;477;100;84518;7.0;23683543.7;10453594.0;0023651 xc127_hBone_PD549
10pui;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Bone + Add-on;477;100;33801;13.0;73260729.2;14564342.0;0023651 xc127_hBone_PD549
10sja;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-colon-with-xenium-multimodal-cell-segmentation-1-standard;Predesigned;Xenium Mouse Tissue Atlassing;379;0;219797;195.0;37101037.1;14233339.2;0023732 Slide_1
10i70;https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;140702;31.0;20121068.4;8747058.1;0023939 Slide_1
10uxy;https://www.10xgenomics.com/datasets/preview-data-ffpe-human-lung-cancer-with-xenium-multimodal-cell-segmentation-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;162254;46.0;30260670.3;11773649.1;0017509
10arp;https://www.10xgenomics.com/datasets/human-tonsil-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;1349620;50.0;80680119.3;60701485.0;0020205 xc123_hTonsil
1020d;https://www.10xgenomics.com/datasets/human-tonsil-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;864388;60.0;83386258.0;53160220.7;0020205 xc123_hTonsil
10k3x;https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;68476;25.0;72922736.2;21468246.0;0019724 xc119_s2
10ae2;https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;90106;17.0;43243357.3;20582924.7;0019724 xc119_s2
1074f;https://www.10xgenomics.com/datasets/human-liver-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;239271;80.0;70642593.0;55858913.6;0019736 xc119_s1
108dr;https://www.10xgenomics.com/datasets/human-liver-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Custom Add-on;Xenium Human Multi-Tissue + Add-on;474;97;162628;114.0;33656161.8;24980209.2;0008698 XC096_S2
10wmu;https://www.10xgenomics.com/datasets/human-heart-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;26366;63.0;21021206.9;11938364.7;0006587 Slide_1
102cy;https://www.10xgenomics.com/datasets/human-skin-preview-data-xenium-human-skin-gene-expression-panel-1-standard;Predesigned;Xenium Human Skin;282;0;106980;163.0;23221128.9;14802245.5;
10zwi;https://www.10xgenomics.com/datasets/human-skin-preview-data-xenium-human-skin-gene-expression-panel-add-on-1-standard;Custom Add-on;Xenium Human Melanoma + Add-on;382;100;87499;122.0;12753958.7;8728276.7;0012563 hskin_base_addon_12563_sim2
10fyx;https://www.10xgenomics.com/datasets/pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard;Custom Add-on;Xenium Human Multi-Tissue + Add-on;474;97;190965;114.0;22386228.1;17696884.6;0009465 hMulti_base_add
10tsy;https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard;Predesigned;Xenium Human Colon;325;0;270984;53.0;49731580.5;33873830.4;
101t3;https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard;Custom Add-on;Xenium Human Colon + Add-on;425;100;275822;85.0;51498756.9;35910862.7;
10ah4;https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard;Predesigned;Xenium Human Colon;325;0;647524;65.0;58844125.6;53263340.9;
10zm9;https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard;Custom Add-on;Xenium Human Colon + Add-on;425;100;587115;95.0;60177827.6;49978019.1;
10pa3;https://www.10xgenomics.com/datasets/mouse-pup-preview-data-xenium-mouse-tissue-atlassing-panel-1-standard;Predesigned;Xenium Mouse Tissue Atlassing;379;0;1355849;113.0;191677375.5;146529243.7;00009507 mousepup_base_459
107sr;https://www.10xgenomics.com/datasets/human-lung-cancer-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;150365;132.0;31485160.1;22709152.4;
103mf;https://www.10xgenomics.com/datasets/human-lymph-node-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;377985;45.0;21900901.0;16005567.0;
107yk;https://www.10xgenomics.com/datasets/human-pancreas-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;103901;109.0;16234578.6;13509854.7;
1063i;https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;97560;54.0;24106588.5;17570756.3;
10u89;https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;56510;57.0;17102908.0;11150642.5;
10hhx;https://www.10xgenomics.com/datasets/xenium-in-situ-analysis-of-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard;Custom Add-on;Xenium Mouse Brain + Add-on;347;99;62268;181.0;34957463.8;20104702.0;T0222-721 S3
10kyp;https://www.10xgenomics.com/datasets/xenium-in-situ-analysis-of-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard;Custom Add-on;Xenium Mouse Brain + Add-on;347;99;53913;224.0;26497268.1;16765309.7;T0222-696 S1
10fpp;https://www.10xgenomics.com/datasets/xenium-in-situ-analysis-of-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard;Custom Add-on;Xenium Mouse Brain + Add-on;347;99;58682;175.0;26501638.3;18499149.0;T0222-696 S1
106ws;https://www.10xgenomics.com/datasets/xenium-in-situ-analysis-of-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard;Custom Add-on;Xenium Mouse Brain + Add-on;347;99;59935;187.0;34957257.5;20007165.6;T0222-721 S3
10xa2;https://www.10xgenomics.com/datasets/xenium-in-situ-analysis-of-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard;Custom Add-on;Xenium Mouse Brain + Add-on;347;99;58231;242.0;26482646.5;18691560.0;T0222-696 S1
108d3;https://www.10xgenomics.com/datasets/xenium-in-situ-analysis-of-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard;Custom Add-on;Xenium Mouse Brain + Add-on;347;99;58685;223.0;31757112.7;18664857.1;T0222-699 S2
10fri;https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard;Custom Add-on;Xenium R&D Panel;392;100;295883;71.0;100554810.4;58701980.3;
109k1;https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard;Custom Add-on;Xenium R&D Panel;392;100;531165;105.0;117594680.2;99013172.5;
104dy;https://www.10xgenomics.com/datasets/xenium-human-brain-preview-data-1-standard;Custom Add-on;Xenium R&D Panel;319;65;24406;166.0;35864960.3;14363558.0;
1091x;https://www.10xgenomics.com/datasets/xenium-human-brain-preview-data-1-standard;Custom Add-on;Xenium R&D Panel;319;65;40887;216.0;37599015.1;20355562.9;
10zj1;https://www.10xgenomics.com/datasets/xenium-human-brain-preview-data-1-standard;Custom Add-on;Xenium R&D Panel;354;100;44955;216.0;43735648.5;23404529.9;
10uac;https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Breast + Add-on;380;100;576963;119.0;96168606.4;73945656.7;0002807 SIM2
10x88;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-replicates-1-standard;Predesigned;Xenium Mouse Brain;248;0;162033;252.0;63462081.1;46354451.0;0002578 SIM2
10c6u;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-replicates-1-standard;Predesigned;Xenium Mouse Brain;248;0;154654;250.0;64521278.2;46142439.4;0002578 SIM2
108h0;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-replicates-1-standard;Predesigned;Xenium Mouse Brain;248;0;158047;253.0;61366575.9;45908716.5;0002578 SIM2
101tu;https://www.10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard;Predesigned;Xenium Human Breast;280;0;892966;100.0;228051035.0;179629828.4;0002178 SIM1
10xay;https://www.10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard;Predesigned;Xenium Human Breast;280;0;885523;97.0;221212452.6;177696105.1;0002169 SIM2
101x5;https://www.10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Breast + Add-on;380;100;574527;123.0;96168606.4;73945656.7;0002807 SIM2
10pf0;https://www.10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Breast + Add-on;380;100;365604;111.0;70787557.6;49323013.2;0002807 SIM2
10y80;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-for-xenium-explorer-demo-1-standard;Predesigned;Xenium Mouse Brain;248;0;130870;218.0;66088963.0;45707354.3;00002131 sim2
104cz;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-for-xenium-explorer-demo-1-standard;Predesigned;Xenium Mouse Brain;248;0;36602;211.0;66088963.0;45707354.3;00002131 sim2
